.033_1:1
.033_2:1
.1_1:1
.1_2:1
.22UF_1:1
.22UF_2:1
100NF_1:1
100NF_2:1
100UF_1:1
100UF_2:1
10K_1:1
10NF_1:1
10NF_2:1
1UF_1:1
1UF_2:1
4.7NF_1:1
4.7NF_2:1
90K_1:1
A1:1
BJ1:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
D1:1
D2:1
D3:1
JP1:1
JP3:1
JP4:1
JP5:1
M1:1
M2:1
PIR1:1
R1:1
R2:1
REF**:4
SW1:1
TP1:1
U1:1
U2:1
U3:1
U4:1
U5:1
US5881_1:1
US5881_2:1
